,Disease,Precaution_1
0,Drug Reaction,"stop irritation,consult nearest hospital,stop taking drug,follow up"
1,Malaria,"Consult nearest hospital ,avoid oily food,avoid non veg food,keep mosquitos out"
2,Allergy,"apply calamine,cover area with bandage"
3,Hypothyroidism,"reduce stress,exercise"
4,Psoriasis,"wash hands with warm soapy water,stop bleeding using pressure"
5,GERD,"avoid fatty spicy food,avoid lying down after eating"
6,Chronic cholestasis,"cold baths,anti itch medicine"
7,hepatitis A,"Consult nearest hospital,wash hands through"
8,Osteoarthristis,"acetaminophen,consult nearest hospital"
9,(vertigo) Paroymsal  Positional Vertigo,"lie down,avoid sudden change in body"
10,Hypoglycemia,"lie down on side,check in pulse"
11,Acne,"bath twice,avoid fatty spicy food"
12,Diabetes ,"have balanced diet,exercise"
13,Impetigo,"soak affected area in warm water,use antibiotics"
14,Hypertension ,"meditation,salt baths"
15,Peptic ulcer diseae,"avoid fatty spicy food,consume probiotic food"
16,Dimorphic hemmorhoids(piles),"avoid fatty spicy food,consume witch hazel"
17,Common Cold,"drink vitamin c rich drinks,take vapour"
18,Chicken pox,"use neem in bathing ,consume neem leaves"
19,Cervical spondylosis,"use heating pad or cold pack,exercise"
20,Hyperthyroidism,"eat healthy,massage,increase vitamin c intake"
21,Urinary tract infection,drink plenty of water
22,Varicose veins,"lie down flat and raise the leg high,use oinments"
23,AIDS,"avoid open cuts,wear ppe if possible"
24,Paralysis (brain hemorrhage),"massage,eat healthy,antiboitic therapy"
25,Typhoid,eat high calorie vegitables
26,Hepatitis B,"consult nearest hospital,wash hands through"
27,Fungal infection,"bath twice,avoid fatty spicy food"
28,Hepatitis C,"Consult nearest hospital,wash hands through"
29,Migraine,"meditation,reduce stress"
30,Bronchial Asthma,"switch to loose cloothing,take deep breaths"
31,Alcoholic hepatitis,"stop alcohol consumption,consult doctor"
32,Jaundice,"drink plenty of water,consume milk thistle"
33,Hepatitis E,"stop alcohol consumption,consult doctor"
34,Dengue,"drink papaya leaf juice,avoid fatty spicy food"
35,Hepatitis D,"consult doctor,medication"
36,Heart attack,"call ambulance,chew or swallow asprin"
37,Pneumonia,"consult doctor,medication"
38,Arthritis,"exercise,use hot and cold therapy"
39,Gastroenteritis,"stop eating solid food for while,try taking small sips of water"
40,Tuberculosis,"cover mouth,consult doctor"
